St.no;Year;Mnth;Date;Time(NMT);TA
68860;2010;1;27;20;-0.1
68860;2010;1;27;21;-0.3
68860;2010;1;27;22;-0.4
68860;2010;1;27;23;-0.7
68860;2010;1;27;24;-0.8
68860;2010;1;28;1;-0.5
68860;2010;1;28;2;0.0
68860;2010;1;28;3;-0.1
68860;2010;1;28;4;0.0
68860;2010;1;28;5;-0.1
68860;2010;1;28;6;-0.2
68860;2010;1;28;7;-0.1
68860;2010;1;28;8;-0.4
68860;2010;1;28;9;0.1
68860;2010;1;28;10;0.1
68860;2010;1;28;11;-0.1
68860;2010;1;28;12;0.1
68860;2010;1;28;13;-0.4
68860;2010;1;28;14;-0.5
68860;2010;1;28;15;-0.8
68860;2010;1;28;16;-1.2
68860;2010;1;28;17;-1.5
68860;2010;1;28;18;-1.4
68860;2010;1;28;19;-1.4
68860;2010;1;28;20;-1.9
68860;2010;1;28;21;-1.7
68860;2010;1;28;22;-1.9
68860;2010;1;28;23;-2.0
68860;2010;1;28;24;-2.3
68860;2010;1;29;1;-2.4
68860;2010;1;29;2;-2.1
68860;2010;1;29;3;-2.4
68860;2010;1;29;4;-2.7
68860;2010;1;29;5;-2.8
68860;2010;1;29;6;-2.9
68860;2010;1;29;7;-2.9
68860;2010;1;29;8;-2.7
68860;2010;1;29;9;-2.9
68860;2010;1;29;10;-3.4
68860;2010;1;29;11;-3.9
68860;2010;1;29;12;-4.0
68860;2010;1;29;13;-4.3
68860;2010;1;29;14;-4.5
68860;2010;1;29;15;-3.4
68860;2010;1;29;16;-5.1
68860;2010;1;29;17;-3.9
68860;2010;1;29;18;-4.0
68860;2010;1;29;19;-4.4
68860;2010;1;29;20;-4.7
68860;2010;1;29;21;-5.3
68860;2010;1;29;22;-5.4
68860;2010;1;29;23;-7.0
68860;2010;1;29;24;-7.7
68860;2010;1;30;1;-8.6
68860;2010;1;30;2;-8.6
68860;2010;1;30;3;-8.5
68860;2010;1;30;4;-8.8
68860;2010;1;30;5;-8.7
68860;2010;1;30;6;-9.4
68860;2010;1;30;7;-8.7
68860;2010;1;30;8;-8.8
68860;2010;1;30;9;-8.4
68860;2010;1;30;10;-8.7
68860;2010;1;30;11;-9.1
68860;2010;1;30;12;-8.7
68860;2010;1;30;13;-8.6
68860;2010;1;30;14;-8.6
68860;2010;1;30;15;-9.2
68860;2010;1;30;16;-10.2
68860;2010;1;30;17;-10.6
68860;2010;1;30;18;-10.6
68860;2010;1;30;19;-11.2
68860;2010;1;30;20;-12.0
68860;2010;1;30;21;-13.6
68860;2010;1;30;22;-13.5
68860;2010;1;30;23;-11.9
68860;2010;1;30;24;-12.5
68860;2010;1;31;1;-12.8
68860;2010;1;31;2;-12.8
68860;2010;1;31;3;-13.8
68860;2010;1;31;4;-13.1
68860;2010;1;31;5;-14.3
68860;2010;1;31;6;-14.8
68860;2010;1;31;7;-15.3
68860;2010;1;31;8;-15.3
68860;2010;1;31;9;-12.9
68860;2010;1;31;10;-14.8
68860;2010;1;31;11;-13.5
68860;2010;1;31;12;-11.3
68860;2010;1;31;13;-10.9
68860;2010;1;31;14;-11.0
68860;2010;1;31;15;-11.7
68860;2010;1;31;16;-11.7
68860;2010;1;31;17;-11.8
68860;2010;1;31;18;-12.1
68860;2010;1;31;19;-14.4
68860;2010;1;31;20;-14.7
68860;2010;1;31;21;-14.6
68860;2010;1;31;22;-12.1
68860;2010;1;31;23;-12.3
68860;2010;1;31;24;-12.8
